LineId,Label,Timestamp,Date,Node,Time,Type,Component,Level,Content,EventId
653496,-,1135641175,2005.12.26,R37-M1-NC-C:J02-U11,2005-12-26-15.52.55.476702,RAS,KERNEL,INFO,instruction cache parity error corrected,E189
111635,-,1118814530,2005.06.14,R22-M0-N9-C:J02-U11,2005-06-14-22.48.50.431887,RAS,KERNEL,INFO,generating core.971,E168
277881,-,1121006915,2005.07.10,R35-M1-NA-C:J08-U01,2005-07-10-07.48.35.819716,RAS,KERNEL,INFO,generating core.26758,E168
533528,-,1131060729,2005.11.03,R66-M1-N8-C:J12-U01,2005-11-03-15.32.09.543357,RAS,KERNEL,INFO,iar 00106580 dear 02494c2c,E173
477957,-,1127243352,2005.09.20,NULL,2005-09-20-12.09.12.413975,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E221
514159,-,1130774751,2005.10.31,R50-M0-N6-C:J06-U11,2005-10-31-08.05.51.330873,RAS,KERNEL,INFO,"CE sym 29, at 0x092db580, mask 0x04",E38
192988,-,1120266966,2005.07.01,R32-M1-NF-C:J09-U11,2005-07-01-18.16.06.993631,RAS,KERNEL,INFO,1146800 double-hummer alignment exceptions,E6
230617,-,1120931546,2005.07.09,R35-M1-N3-C:J03-U11,2005-07-09-10.52.26.103512,RAS,KERNEL,INFO,generating core.54771,E168
353483,-,1122143109,2005.07.23,R17-M0-N2-C:J08-U01,2005-07-23-11.25.09.488126,RAS,KERNEL,INFO,generating core.5286,E168
634653,-,1133455524,2005.12.01,R25-M0-N8-C:J16-U01,2005-12-01-08.45.24.782946,RAS,KERNEL,INFO,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,E12
541618,-,1131067409,2005.11.03,R33-M0-N5-C:J13-U11,2005-11-03-17.23.29.240028,RAS,KERNEL,INFO,62500 floating point alignment exceptions,E9
35253,KERNDTLB,1118539704,2005.06.11,R30-M0-N9-C:J16-U01,2005-06-11-18.28.24.649375,RAS,KERNEL,FATAL,data TLB error interrupt,E15
95510,-,1118772040,2005.06.14,R21-M1-NA-C:J02-U01,2005-06-14-11.00.40.615687,RAS,KERNEL,FATAL,machine state register: 0x00002000,E217
236760,-,1120934375,2005.07.09,R23-M0-N1-C:J11-U11,2005-07-09-11.39.35.677109,RAS,KERNEL,INFO,generating core.57337,E168
338260,-,1121900471,2005.07.20,R20-M1-NB-C:J11-U11,2005-07-20-16.01.11.104109,RAS,KERNEL,INFO,8 floating point alignment exceptions,E9
307774,-,1121313846,2005.07.13,R31-M0-NA-C:J06-U01,2005-07-13-21.04.06.588982,RAS,KERNEL,INFO,generating core.6662,E168
580696,-,1131754885,2005.11.11,R53-M0-ND-C:J05-U11,2005-11-11-16.21.25.537852,RAS,KERNEL,INFO,"CE sym 28, at 0x161059a0, mask 0x40",E38
499454,-,1129165878,2005.10.12,R33-M0-N8-I:J18-U11,2005-10-12-18.11.18.204253,RAS,APP,FATAL,"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image, Permission denied",E57
565206,-,1131409079,2005.11.07,R62-M0-NC-C:J13-U01,2005-11-07-16.17.59.125226,RAS,KERNEL,INFO,iar 001061e8 dear 0244cb8c,E173
392494,-,1122576270,2005.07.28,R36-M1-ND-C:J16-U01,2005-07-28-11.44.30.190161,RAS,KERNEL,INFO,generating core.13568,E168
218259,-,1120786910,2005.07.07,R06-M0-ND-C:J17-U01,2005-07-07-18.41.50.065225,RAS,KERNEL,INFO,generating core.2624,E168
328380,-,1121598843,2005.07.17,R14-M1-NB-C:J03-U11,2005-07-17-04.14.03.160673,RAS,KERNEL,INFO,generating core.5483,E168
415612,-,1123193982,2005.08.04,UNKNOWN_LOCATION,2005-08-04-15.19.42.154971,NULL,DISCOVERY,ERROR,Missing reverse cable: Cable R16-M0-L1 4 E (J13) --> R06-M1-L1 4 D (J15) is present BUT the reverse cable R06-M1-L1 1 E (J05) --> R16-M0-L1 1 D (J07) is missing,E221
373147,-,1122168484,2005.07.23,R10-M0-N6-C:J11-U01,2005-07-23-18.28.04.107515,RAS,KERNEL,INFO,1005 floating point alignment exceptions,E9
568561,-,1131478046,2005.11.08,R63-M0-NF-C:J07-U01,2005-11-08-11.27.26.910319,RAS,KERNEL,INFO,iar 001061e8 dear 0247015c,E173
626995,-,1133455086,2005.12.01,R53-M0-ND-C:J06-U01,2005-12-01-08.38.06.120178,RAS,KERNEL,INFO,"10660 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E22
650232,APPSEV,1134631094,2005.12.14,R63-M1-NC-I:J18-U01,2005-12-14-23.18.14.177322,RAS,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:50408, Link has been severed",E65
82910,-,1118770496,2005.06.14,R26-M0-N3-C:J09-U11,2005-06-14-10.34.56.063858,RAS,KERNEL,FATAL,program interrupt: fp compare...............0,E303
598844,-,1133409379,2005.11.30,R37-M1-N4-I:J18-U01,2005-11-30-19.56.19.943902,RAS,APP,FATAL,ciod: LOGIN chdir(/g/g0/spelce1/Linpack_SWL) failed: No such file or directory,E73
482359,-,1127243550,2005.09.20,NULL,2005-09-20-12.12.30.030113,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E221
573302,-,1131581440,2005.11.09,R62-M0-ND-C:J09-U11,2005-11-09-16.10.40.718873,RAS,KERNEL,INFO,iar 00106ba0 dear 0246de9c,E173
270002,-,1120969478,2005.07.09,R34-M0-N7-C:J02-U01,2005-07-09-21.24.38.575224,RAS,KERNEL,INFO,generating core.17091,E168
384795,-,1122430827,2005.07.26,R34-M1-N3-C:J16-U01,2005-07-26-19.20.27.951867,RAS,KERNEL,INFO,generating core.61840,E168
392827,-,1122576333,2005.07.28,R37-M0-ND-C:J06-U11,2005-07-28-11.45.33.544528,RAS,KERNEL,INFO,generating core.5906,E168
639238,-,1133660688,2005.12.03,R74-M0-N2-C:J12-U11,2005-12-03-17.44.48.868207,RAS,KERNEL,INFO,"4 ddr error(s) detected and corrected on rank 0, symbol 27 over 1848 seconds",E4
210101,-,1120487687,2005.07.04,R26-M1-N0-C:J11-U11,2005-07-04-07.34.47.448990,RAS,KERNEL,INFO,generating core.3965,E168
146172,-,1119803333,2005.06.26,R32-M1-N7-C:J13-U01,2005-06-26-09.28.53.722397,RAS,KERNEL,INFO,floating point operation....................0,E156
320382,-,1121496035,2005.07.15,R17-M1-NB-C:J12-U01,2005-07-15-23.40.35.017633,RAS,KERNEL,INFO,generating core.45577,E168
388354,-,1122431585,2005.07.26,R00-M1-N6-C:J17-U01,2005-07-26-19.33.05.563254,RAS,KERNEL,INFO,generating core.57540,E168
531257,-,1131060368,2005.11.03,R67-M1-NC-C:J13-U01,2005-11-03-15.26.08.684755,RAS,KERNEL,INFO,iar 00106534 dear 02494c0c,E173
508985,-,1130088226,2005.10.23,R17-M0-N0-C:J10-U01,2005-10-23-10.23.46.489058,RAS,KERNEL,INFO,total of 1 ddr error(s) detected and corrected,E354
633826,-,1133455500,2005.12.01,R44-M1-N4-C:J16-U01,2005-12-01-08.45.00.883022,RAS,KERNEL,INFO,"10720 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E22
616850,-,1133448761,2005.12.01,R21-M1-N5-C:J04-U11,2005-12-01-06.52.41.389170,RAS,KERNEL,INFO,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,E12
64137,-,1118766067,2005.06.14,R15-M1-NC-C:J14-U11,2005-06-14-09.21.07.129034,RAS,KERNEL,FATAL,instruction address: 0x00004ed8,E187
284602,-,1121252534,2005.07.13,R06-M0-N3-C:J16-U01,2005-07-13-04.02.14.325409,RAS,KERNEL,INFO,117319264 double-hummer alignment exceptions,E6
431525,-,1124734134,2005.08.22,R25-M0-N8-I:J18-U11,2005-08-22-11.08.54.474894,RAS,APP,FATAL,"ciod: Error loading /home/germann2/SPaSM_static/SPaSM_mpi: invalid or missing program image, No such file or directory",E56
118538,-,1119151670,2005.06.18,R16-M1-N2-C:J17-U01,2005-06-18-20.27.50.675707,RAS,KERNEL,INFO,"CE sym 0, at 0x1b8594e0, mask 0x40",E38
544987,-,1131125501,2005.11.04,R62-M0-NF-C:J15-U11,2005-11-04-09.31.41.899524,RAS,KERNEL,INFO,iar 00106bd8 dear 0245ce0c,E173
303988,-,1121312179,2005.07.13,R27-M0-NF-C:J13-U01,2005-07-13-20.36.19.602722,RAS,KERNEL,INFO,generating core.24873,E168
16279,-,1117992548,2005.06.05,R30-M1-NA-C:J03-U01,2005-06-05-10.29.08.180383,RAS,KERNEL,INFO,generating core.7447,E168
352652,-,1122142803,2005.07.23,R12-M0-NE-C:J05-U11,2005-07-23-11.20.03.664454,RAS,KERNEL,INFO,"CE sym 2, at 0x1954a140, mask 0x20",E38
507983,-,1129923288,2005.10.21,R76-M1-N0-I:J18-U01,2005-10-21-12.34.48.335584,RAS,APP,FATAL,"ciod: Error loading /home/rfisher/sodscaling/flash2: program image too big, 381013696 > 266076160",E59
201097,-,1120449957,2005.07.03,R25-M1-N3-C:J02-U11,2005-07-03-21.05.57.250874,RAS,KERNEL,INFO,generating core.23259,E168
482653,-,1127243557,2005.09.20,NULL,2005-09-20-12.12.37.973056,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E221
383960,-,1122430645,2005.07.26,R26-M1-N9-C:J10-U01,2005-07-26-19.17.25.268106,RAS,KERNEL,INFO,generating core.40473,E168
511541,-,1130570483,2005.10.29,R60-M0-N2-C:J12-U11,2005-10-29-00.21.23.202321,RAS,KERNEL,INFO,"CE sym 33, at 0x1ff2fc60, mask 0x08",E38
520080,-,1131058160,2005.11.03,R66-M1-N8-C:J09-U01,2005-11-03-14.49.20.398097,RAS,KERNEL,INFO,640764 floating point alignment exceptions,E9
183679,-,1120260790,2005.07.01,R31-M0-NE-C:J14-U01,2005-07-01-16.33.10.396037,RAS,KERNEL,INFO,1146800 double-hummer alignment exceptions,E6
425079,-,1123966460,2005.08.13,R20-M0-N0-I:J18-U01,2005-08-13-13.54.20.873902,RAS,APP,FATAL,ciod: LOGIN chdir(pwd) failed: No such file or directory,E73
448580,-,1125219715,2005.08.28,R70-M1-N5-C:J07-U01,2005-08-28-02.01.55.759079,RAS,KERNEL,INFO,134514272 double-hummer alignment exceptions,E6
281036,-,1121172352,2005.07.12,R30-M1-N6-C:J04-U01,2005-07-12-05.45.52.547443,RAS,KERNEL,INFO,generating core.12359,E168
327750,-,1121598711,2005.07.17,R17-M1-ND-C:J13-U11,2005-07-17-04.11.51.644452,RAS,KERNEL,INFO,generating core.43625,E168
324102,-,1121597923,2005.07.17,R20-M0-N9-C:J06-U01,2005-07-17-03.58.43.915056,RAS,KERNEL,INFO,generating core.31770,E168
473754,-,1127234196,2005.09.20,UNKNOWN_LOCATION,2005-09-20-09.36.36.248337,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:16:E2:64:00:0D:60:E9:1D:9B ip=10.1.1.68 v=13 t=4 status=M Tue Sep 20 09:28:33 PDT 2005,E221
121269,-,1119291342,2005.06.20,R02-M0-NC-C:J10-U11,2005-06-20-11.15.42.260385,RAS,KERNEL,INFO,generating core.1941,E168
460115,-,1125225358,2005.08.28,R16-M1-N0-I:J18-U01,2005-08-28-03.35.58.111765,RAS,KERNEL,INFO,"NFS Mount failed on bglio230, slept 24 seconds, retrying (1)",E259
261087,-,1120967789,2005.07.09,R13-M1-ND-C:J13-U11,2005-07-09-20.56.29.951677,RAS,KERNEL,INFO,1382913616 double-hummer alignment exceptions,E6
